movieId,title,avgVote,releaseYear,genres
114150,Pitch Perfect,6.800000,2012,Comedy:Music:Romance
114478,Starship Troopers : Invasion,6.300000,2012,Action:Animation:Science Fiction:Thriller
114606,Cockneys vs Zombies,5.400000,2012,Comedy:Horror
114779,It's a Disaster,5.800000,2012,Comedy
114955,Let It Shine,6.300000,2012,Musical:Family
115210,Stitches,5.300000,2012,Horror
115276,Pusher,4.900000,2012,Thriller
115283,A.C.O.D.,5.900000,2013,Comedy
115290,Blue Lagoon: The Awakening,6.100000,2012,Romance
115348,Paranoia,6.000000,2013,Drama:Thriller
115782,Jobs,6.100000,2013,Drama:History
116613,The Sweeney,6.200000,2012,Crime:Drama
116711,Epic,6.500000,2013,Adventure:Animation:Fantasy:Family
116741,The Internship,6.200000,2013,Comedy
116745,The Secret Life of Walter Mitty,7.200000,2013,Adventure:Comedy:Drama:Fantasy
116811,Berberian Sound Studio,6.800000,2012,Drama:Horror:Thriller
117251,White House Down,6.400000,2013,Action:Drama:Thriller
117263,Olympus Has Fallen,6.100000,2013,Action:Thriller
117691,Gangs of Wasseypur,8.000000,2012,Action:Crime:Thriller
117974,Sightseers,5.800000,2012,Comedy
118289,Diana,5.700000,2013,Drama:Romance
118293,The Suicide Shop,6.600000,2012,Animation:Comedy
118340,Guardians of the Galaxy,8.700000,2014,Adventure:Fantasy:Science Fiction
118406,Naruto Shippuden the Movie: Road to Ninja,8.400000,2012,Action:Animation
118628,English Vinglish,8.100000,2012,Drama:Foreign
118677,Why Stop Now?,5.400000,2012,Comedy:Drama
118683,Maximum Conviction,5.200000,2012,Action:Adventure:Thriller
118737,Interview with a Hitman,5.500000,2012,Action:Thriller
118957,Bait,5.900000,2012,Action:Horror:Thriller
119278,Smiley,5.600000,2012,Horror
119283,Parker,5.600000,2013,Action:Crime
119431,Halo 4: Forward Unto Dawn,6.700000,2012,Action:Science Fiction
119450,Dawn of the Planet of the Apes,7.900000,2014,Action:Drama:Science Fiction:Thriller
119569,Marvel One-Shot: Item 47,7.000000,2012,Action:Fantasy:Science Fiction
119675,Behind the Candelabra,6.600000,2013,Drama:Romance
119698,The Dinosaur Project,4.800000,2012,Adventure
119892,The Monkey King,4.600000,2014,Action:Adventure:Family
120292,Not Suitable For Children,5.300000,2012,Comedy:Romance
120467,The Grand Budapest Hotel,8.100000,2014,Comedy:Drama
120475,Dragon Ball: Episode Of Bardock,6.400000,2011,Action:Adventure:Animation
120605,The Punisher: Dirty Laundry,7.300000,2012,Action:Drama:Thriller:Fan Film:Short
121606,Resolution,6.400000,2012,Horror:Mystery:Thriller
121642,Twice Born,6.700000,2012,Drama:Romance:War
121674,Great Expectations,7.000000,2013,Drama:Romance
121677,The Reluctant Fundamentalist,7.600000,2012,Thriller
121734,"Tad, the Lost Explorer",5.600000,2013,Adventure:Animation:Comedy:Family
121789,At Any Price,5.600000,2012,Drama
121793,Capital,5.800000,2013,Drama
121823,Tai Chi Zero,6.700000,2012,Action:Drama
121824,Stand Up Guys,6.100000,2012,Comedy:Crime:Drama
121826,Quartet,6.400000,2012,Comedy:Drama:Romance
121828,Beyond Outrage,7.100000,2012,Action
121835,Lore,7.100000,2012,Drama:Thriller:War
121872,Ginger & Rosa,6.600000,2012,Drama
121873,Hannah Arendt,6.600000,2012,Drama
121875,In the House,7.200000,2012,Drama:Mystery:Thriller
121879,A Late Quartet,7.400000,2012,Drama
121936,Happiness Never Comes Alone,6.600000,2012,Comedy:Romance
121986,Frances Ha,7.400000,2012,Comedy:Drama
122081,Spring Breakers,4.900000,2013,Crime:Drama
122192,The Lookout,6.300000,2012,Action:Crime:Suspense
122293,The Philadelphia Experiment,4.300000,2012,Adventure:Mystery:Science Fiction:Thriller
122800,Freelancers,5.200000,2012,Action:Crime:Drama
122857,Universal Soldier: Day of Reckoning,5.300000,2012,Action:Science Fiction
122906,About Time,7.700000,2013,Comedy:Drama:Science Fiction
123025,"Batman: The Dark Knight Returns, Part 1",7.500000,2012,Action:Animation
123103,Aftershock,5.100000,2012,Horror:Thriller
123105,The Bay,5.100000,2012,Horror:Science Fiction:Thriller
123109,No One Lives,5.600000,2012,Horror:Thriller
123229,Les Kaïra,5.600000,2012,Comedy
123235,Paris-Manhattan,5.800000,2012,Comedy:Romance
123377,Pieta,6.200000,2012,Drama
123553,The Mortal Instruments: City of Bones,6.100000,2013,Action:Adventure:Drama:Fantasy:Mystery:Romance
123678,The Act of Killing,7.800000,2012,Documentary
124157,The Thieves,6.900000,2012,Action:Crime
124459,The Incredible Burt Wonderstone,5.200000,2013,Comedy
124461,A Glimpse Inside the Mind of Charles Swan III,5.000000,2012,Comedy
124905,Godzilla,6.500000,2014,Action
125490,Antiviral,5.900000,2012,Horror:Science Fiction
125509,Wrong Turn 5: Bloodlines,4.700000,2012,Horror:Thriller
126250,Love is All You Need,6.300000,2012,Comedy:Romance
126277,American Mary,5.800000,2012,Horror:Thriller
126319,Ernest & Celestine,8.100000,2012,Animation:Comedy:Drama:Family
126797,Mental,6.600000,2012,Comedy:Drama
126963,Dragon Ball Z: Battle of Gods,6.500000,2013,Action:Animation
127370,Song for Marion,6.900000,2012,Comedy:Musical:Romance
127372,Emperor,6.300000,2012,Drama:History:War
127373,What Maisie Knew,7.500000,2012,Drama
127493,Stolen,5.300000,2012,Action:Crime:Drama:Thriller
127501,Barfi!,8.200000,2012,Comedy:Drama:Romance
127517,Disconnect,6.900000,2012,Drama:Thriller
127521,6 Bullets,5.600000,2012,Action:Thriller
127533,Rurouni Kenshin,7.200000,2012,Action:Drama:Eastern:History:Foreign
127560,The Railway Man,7.100000,2014,Drama:History
127585,X-Men: Days of Future Past,7.900000,2014,Action:Adventure:Fantasy:Science Fiction
127846,A Hijacking,7.400000,2012,Drama:Thriller
127867,The Brass Teapot,5.800000,2013,Comedy:Fantasy:Thriller
127884,Come Out and Play,5.000000,2012,Horror
127918,The Gatekeepers,7.200000,2012,Documentary
128113,Key of Life,7.900000,2012,Comedy:Crime:Romance
128136,My Awkward Sexual Adventure,5.600000,2012,Comedy:Romance
128216,Stories We Tell,7.500000,2012,Documentary
129112,Wadjda,8.300000,2012,Drama
129139,The To Do List,5.600000,2013,Comedy:Romance
129670,Nebraska,7.400000,2013,Adventure:Drama
130150,Labor Day,6.600000,2013,Drama
130267,Seal Team Six: The Raid on Osama Bin Laden,5.400000,2012,Action:Crime:Drama:Thriller
130739,A Coffee in Berlin,7.100000,2013,Comedy:Drama
130747,The Guardians,5.900000,2012,Action:Thriller
130925,Partysaurus Rex,7.800000,2012,Animation:Comedy:Fantasy:Family
131634,The Hunger Games: Mockingjay - Part 2,8.800000,2015,Adventure
131689,The Wicked,4.500000,2013,Fantasy:Horror:Thriller
132137,Werewolf: The Beast Among Us,4.700000,2012,Drama:Horror
132232,Mama,6.000000,2013,Horror
132316,Jab Tak Hai Jaan,7.500000,2012,Drama:Romance
132344,Before Midnight,7.100000,2013,Drama:Romance
132363,The Butler,7.200000,2013,Drama
132712,Party Crashers,5.100000,2012,Comedy
133121,Resident Evil: Damnation,6.000000,2012,Animation
133369,The Conspiracy,6.700000,2012,Horror:Thriller
133469,The Dream Team,4.900000,2012,Comedy:Drama:Romance
133694,Promised Land,5.600000,2012,Drama
133698,Fly Me to the Moon,6.000000,2012,Comedy:Romance
133790,Clear History,6.600000,2013,Comedy
133805,Carrie,6.400000,2013,Drama:Horror
133931,Zambezia,5.700000,2012,Animation
134366,Grave Encounters 2,5.700000,2012,Horror
134371,Atlas Shrugged Part II,6.300000,2012,Drama:Mystery:Science Fiction
134374,Pain & Gain,6.400000,2013,Action:Crime:Thriller
134411,Snitch,5.700000,2013,Drama:Thriller
134597,The Collection,6.000000,2012,Horror:Thriller
135397,Jurassic World,6.700000,2015,Action:Adventure:Science Fiction:Thriller
135647,The Details,5.800000,2012,Comedy:Drama
136400,2 Guns,6.800000,2013,Action:Comedy:Crime:Drama:Thriller
136403,Populaire,6.900000,2012,Comedy
136418,Hummingbird,5.800000,2013,Action:Thriller
136795,The Heat,6.700000,2013,Action:Comedy:Crime
136797,Need for Speed,6.600000,2014,Action:Crime:Drama:Thriller
136911,The Factory,6.000000,2012,Crime:Mystery:Thriller
137093,Last Vegas,6.900000,2013,Comedy
137094,Jack Ryan: Shadow Recruit,6.100000,2014,Action:Drama:Thriller
137106,The Lego Movie,7.800000,2014,Action:Adventure:Animation:Comedy:Fantasy:Family
137113,Edge of Tomorrow,7.800000,2014,Action:Science Fiction
137182,The Broken Circle Breakdown,7.500000,2012,Drama:Foreign
137321,Winter's Tale,6.500000,2014,Drama:Fantasy:Mystery:Romance
137409,Cold War,6.500000,2012,Action:Thriller
137563,A Band Called Death,7.200000,2013,Documentary:Music
137968,Drift,5.700000,2013,Drama:Sport
138103,The Expendables 3,6.800000,2014,Action:Adventure:Thriller
138222,Best Man Down,6.200000,2012,Comedy:Drama
138372,Bad Kids Go to Hell,4.000000,2012,Comedy:Mystery:Thriller
138376,The Truth,5.600000,2012,Action
