personId,name,birthYear,deathYear
120932,Claire Foy,1984,
121529,Léa Seydoux,1985,
121868,Booboo Stewart,1994,
122281,Jerry Della Salla,1969,
122282,Sean Huze,1975,
122291,Brian VanRiper,1981,
122338,Omar Berdouni,1979,
122339,Alex Moore,1981,
122345,Tommy Campbell,1978,
125167,Mindy Kaling,1979,
125740,Dragomir Mrsic,1969,
126502,Charisma Carpenter,1970,
129714,Kisha Sierra,1981,
132354,Kate Micucci,1980,
134704,Wu Ma,1942,
136429,Ryan Dunn,1977,2011
137424,Gia Mantegna,1990,
140114,Marie Avgeropoulos,1986,
140367,Evanna Lynch,1991,
142953,Mini Anden,1978,
144577,Justine Cotsonas,1985,
145299,Eric Godon,1959,
147472,Alan Doyle,1969,
147734,Samuli Vauramo,1981,
149665,Kali Rocha,1971,
150204,Mina Badie,1970,
152759,Peggy Lipton,1946,
152820,Chris William Martin,1975,
157146,Barbara Eve Harris,1959,
159485,Stephanie Romanov,1969,
167293,Rae Ritke,1969,
169337,Katherine LaNasa,1966,
170804,Peggy Stewart,1923,
170977,Stephen Mailer,1966,
178630,Kate Fleetwood,1972,
182280,Daniel Eric Gold,1975,
199432,Jim Knobeloch,1950,
205976,Kelsey Chow,1991,
209196,Annie Ilonzeh,1983,
210695,Jesse Williams,1981,
210824,Kristen Connolly,1980,
211937,Tiffany Espensen,1999,
212208,Taylor Swift,1989,
224197,Brett Gelman,1976,
224724,Will Seatle Bowes,1990,
229634,Sebastian Armesto,1982,
231199,Axelle Carolyn,1979,
231547,Chris Zylka,1985,
234921,Arben Bajraktaraj,1983,
234923,Alfie Enoch,1988,
234925,Shefali Chowdhury,1988,
234926,Afshan Azad,1988,
234928,Scarlett Byrne,1990,
234933,Katie Leung,1987,
234934,Freddie Stroma,1987,
237405,Lady Gaga,1986,
237455,Sam Claflin,1986,
452205,Bobby Moynihan,1978,
469759,Astrid Bergès-Frisbey,1986,
486603,Anna Hutchison,1986,
510488,Nico Evers-Swindell,1979,
558927,Brendan Meyer,1994,
558928,Max Charles,2003,
569937,Dora Lipovcan,1977,
569956,Dusan Bucan,1976,
583061,Michael Kopsa,1956,
586953,Anna Foglietta,1979,
587354,Gísli Örn Garðarsson,1973,
931172,Jianbin Chen,1970,
933182,Justin Price,1985,
936970,Julia Garner,1994,
946696,Ian Whyte,1971,
956719,Tim De Zarn,1952,
964590,Destiny Whitlock,2001,
992389,Tony Nevada,1977,
996701,Miles Teller,1987,
999790,Alexis Knapp,1989,
1040332,Sandro Dori,1938,
1052655,Annett Culp,1975,
1057048,Michael Ford-FitzGerald,1979,
1111328,Leif Gantvoort,1972,
1116442,John Morris,1984,
1140635,Jon Campling,1966,
1209900,Roberto Lombardi,1963,
1214423,Allie Grant,1994,
1214673,Alexis Denisof,1966,
1215836,Kyle Bornheimer,1975,
1216701,Meghan Markle,1981,
1218928,Erica Cerra,1979,
1223171,Willa Holland,1991,
1224022,Enver Gjokaj,1980,
1232365,Andy Pessoa,1995,
1233560,Trevor Donovan,1978,
1254435,Peyton List,1998,
1281596,Will Shadley,1999,
